competencyCode,level,text,optionsA,optionsB,optionsC,optionsD,correctOptionKey,isActive
"JS_CORE","A1","What is JavaScript primarily used for in web pages?","Adding interactivity","Designing server racks","Configuring routers","Installing databases","A",true
"JS_CORE","A2","Which environment natively runs JavaScript?","Web browser","Excel only","Photoshop only","BIOS","A",true
"JS_CORE","B1","Which statement declares a block-scoped variable?","let","var","def","const var","A",true
"JS_CORE","B2","Which of these is a primitive type in JavaScript?","Symbol","Array","Date","RegExp","A",true
"JS_CORE","C1","Which best describes JavaScript's typing discipline?","Dynamically typed","Statically typed","Untyped","Dependent typed","A",true
"JS_CORE","C2","Which execution model feature explains order of JS operations?","Single-threaded event loop","Multi-threaded preemptive","Kernel-level threads","Purely synchronous","A",true
"JS_TYPES","A1","Which value is a string in JavaScript?","'Hello'","42","true","null","A",true
"JS_TYPES","A2","What is the result of typeof 42?","'number'","'string'","'object'","'boolean'","A",true
"JS_TYPES","B1","Which converts a string '123' to a number?","Number('123')","parseBool('123')","String(123)","Boolean('123')","A",true
"JS_TYPES","B2","Which is NOT a falsy value?","'0'","0","NaN","'' (empty string)","A",true
"JS_TYPES","C1","What does Object.is(NaN, NaN) return?","true","false","Throws","undefined","A",true
"JS_TYPES","C2","Which best explains 'boxed' primitives?","Primitives temporarily wrapped with object types for method access","Objects converted to primitives permanently","Memory-mapped arrays","Weak references","A",true
"JS_OPERATORS","A1","Which operator concatenates strings?","+","-","*","/","A",true
"JS_OPERATORS","A2","Which operator checks strict equality?","===","==","=","!==","A",true
"JS_OPERATORS","B1","What does '??' do?","Nullish coalescing","Logical AND","Bitwise XOR","Exponentiation","A",true
"JS_OPERATORS","B2","What is the result of '5' - 2?","3","'52'","'3'","NaN","A",true
"JS_OPERATORS","C1","Which operator has higher precedence than '||'?","&&","||","? :",", (comma)","A",true
"JS_OPERATORS","C2","Which statement about '==' vs '===' is correct?","'===' does no type coercion; '==' may coerce","Both always coerce","Both never coerce","'==' is stricter than '==='","A",true
"JS_CONTROL_FLOW","A1","Which keyword starts a conditional block?","if","when","cond","case","A",true
"JS_CONTROL_FLOW","A2","Which loop runs a fixed number of times with counter?","for","during","repeat","loop","A",true
"JS_CONTROL_FLOW","B1","Which breaks out of a loop?","break","stop","exit()","returnLoop","A",true
"JS_CONTROL_FLOW","B2","Which continues to next iteration?","continue","skip","pass","next()","A",true
"JS_CONTROL_FLOW","C1","Which statement labels can be used with?","break/continue","try/catch","import","with","A",true
"JS_CONTROL_FLOW","C2","Which is true about switch statements?","They compare by strict equality (===) in JS","They use assignment","They are asynchronous","They only support numbers","A",true
"JS_FUNCTIONS_SCOPE","A1","Which defines a function?","function greet(){}","fn greet => {}","def greet(){}","func greet {}","A",true
"JS_FUNCTIONS_SCOPE","A2","Which arrow function returns 5?","() => 5","=> 5","() -> 5","() => {5}","A",true
"JS_FUNCTIONS_SCOPE","B1","Where do variables declared with let exist?","Block scope","Function scope only","Global only","Module only","A",true
"JS_FUNCTIONS_SCOPE","B2","What does closure capture?","Outer lexical environment","Network state","GPU buffers","Kernel modules","A",true
"JS_FUNCTIONS_SCOPE","C1","'this' in an arrow function is:","Lexically bound","Dynamically bound","Global always","Undefined always","A",true
"JS_FUNCTIONS_SCOPE","C2","Default parameters are evaluated:","At call time when parameter is undefined","At parse time","Only once per program","Never","A",true
"JS_ARRAYS","A1","Which adds an item to the end of an array?","push","end","appendTo","insertLast","A",true
"JS_ARRAYS","A2","Which returns the length of an array arr?","arr.length","len(arr)","arr.size()","arr.count","A",true
"JS_ARRAYS","B1","Which creates a new array from mapping?","map","forEach","pushEach","iterate","A",true
"JS_ARRAYS","B2","Which method does NOT mutate the original array?","slice","splice","reverse","sort","A",true
"JS_ARRAYS","C1","What does Array.from do?","Creates an array from iterable/array-like","Freezes an array","Clears an array","Creates a Set","A",true
"JS_ARRAYS","C2","Which ensures deep immutability of nested arrays?","Use structured cloning or libraries; Object.freeze is shallow","Object.freeze deeply","const prevents changes","map makes immutable","A",true
"JS_OBJECTS_PROTOS","A1","Which creates an empty object literal?","{}","[]","()","<>","A",true
"JS_OBJECTS_PROTOS","A2","How to read property x of object o?","o.x","o->x","o:x","o(x)","A",true
"JS_OBJECTS_PROTOS","B1","What does Object.assign do?","Copies properties to target","Clones deeply","Freezes object","Deletes properties","A",true
